location,latitude,longitude
Roslyn Savings Bank,40.7453248,-73.65173539999998
Community Bank,42.5027511,-78.6900845
Massena Savings & Loan Assn,44.8652774,-75.19831880000002
KeyBank,42.9704533,-73.79427790000001
M&T Bank,42.111577399999994,-75.90603829999998
Bank of America,40.7067041,-73.7929529
TD Bank,40.688140999999995,-73.68643180000002
TD Bank,40.5910679,-74.0876845
M&T Bank,41.53783129999999,-73.58355920000001
Valley Bank,40.7325007,-73.98992199999999
HSBC Bank,40.713190600000004,-73.9974421
Ulster Savings Bank,41.744183500000005,-74.0745642
Tompkins Trust Company,43.027903,-76.0461261
Tri State Funding,40.6403814,-73.99836499999998
Bank of America,40.7442777,-73.6057792
Wells Fargo,41.000601200000006,-73.68006319999998
KeyBank,43.170376,-78.688721
Bank of America,42.9864533,-78.8233578
Berkshire Bank,43.2285411,-75.49104419999998
Chase,40.7084646,-73.8188677
TD Bank,40.7572386,-73.8735839
Chase,40.71163120000001,-73.86020049999998
Chase,40.587494899999996,-73.95206019999998
Webster Bank,40.971695000000004,-73.8359792
Citibank,40.6125241,-74.12752859999998
TD Bank,40.754211,-73.9693705
Chase,43.136438399999996,-76.2260252
HSBC Bank,40.6256503,-73.9159981
M&T Bank,43.0628319,-76.0318193
KeyBank,41.7762224,-74.2957334
Trustco Bank,41.0937642,-73.9485191
Empire State Bank,40.5750356,-74.1158179
Community Financial Services Center (CFSC),40.8544723,-73.84331170000002
Chase,40.9845972,-73.7743306
HSBC Bank,40.75797539999999,-73.98231919999998
TD Bank,40.761314899999995,-73.97268050000001
Citizens Bank,42.7387667,-78.843633
TD Bank,40.7659836,-73.98158520000001
Goshen Savings Bank,41.401731700000006,-74.3238082
Liberty Securities Corporation,43.04582389999999,-77.11062700000001
Canandaigua National Bank & Trust,43.105081,-77.7523906
People's United Bank,40.96809200000001,-72.1639656
Bank of America,43.041031700000005,-76.27142540000001
HSBC Bank,41.0328014,-73.76517120000001
Investors Bank,40.5934008,-74.1628515
TD Bank,42.2580554,-73.76647090000002
M&T Bank,41.718073600000004,-73.9639251
Santander Bank,40.841704,-73.94203900000001
Trustco Bank,42.6293253,-73.86613309999998
EverBank,40.7557192,-73.55177490000001
Wells Fargo,41.29012549999999,-73.9210561
Chase,41.45399129999999,-74.39748420000001
Community Bank,42.6872453,-74.9369751
M&T Bank,42.827817200000005,-78.75390829999998
Investors Bank,40.5684533,-74.11135589999998
NYCB,40.773333,-73.5584006
KeyBank,44.849407899999996,-74.29001120000001
Berkshire Bank,43.2302829,-75.440291
Chase,41.0941211,-73.93582140000001
TD Bank,41.35844,-74.2832196
Sterling National Bank,40.6314107,-73.97637809999998
Flushing Savings Bank,40.8791437,-73.82663649999998
First Niagara Mortgage,43.1938729,-76.12647270000001
Bank of America,41.7429782,-74.06931949999998
Metropolitan National Bank,40.750384000000004,-73.97841070000001
Citizens Bank,43.1077115,-77.7460571
Community Bank,44.223098900000004,-74.4657411
Solvay Bank,43.12775449999999,-76.2196665
KeyBank,43.052425299999996,-76.1841475
Sterling National Bank,40.8185723,-73.4108248
Chase,41.1364331,-73.99044070000001
TD Bank,40.91549860000001,-73.8078341
Mid Hudson Savings Bank,41.619804200000004,-73.7250932
Capital One,40.7643578,-73.97681740000002
Adirondack Bank,43.12035909999999,-75.29317940000001
Valley Bank,40.7158431,-73.6612091
Tompkins Trust Company,42.43985079999999,-76.5110065
M&T Bank,41.7020128,-73.9344687
Hamlin Bank and Trust Company,42.0774911,-78.4541022
Bank of America,40.7655356,-73.3302255
M&T Bank,41.0245492,-73.76357850000001
Community Bank,42.144299700000005,-77.06035899999998
Chase,40.57271360000001,-74.1143841
Chase,40.8168076,-73.29123229999998
Ulster Savings Bank,41.9773199,-73.9898439
KeyBank,43.0638312,-76.0716802
Community Bank,42.33841510000001,-77.3323079
Chase,40.94400770000001,-72.943842
Chase,43.1315177,-77.68974890000001
Delaware National Bank of Delhi,42.14578789999999,-74.6333183
Bank of America,40.689818200000005,-73.9239036
Citizens Bank,42.591671000000005,-74.7505906
Capital One,40.7542271,-73.65702409999999
Capital One,40.6210887,-73.7250761
Astoria Federal Savings & Loan Assoc,40.6314107,-73.97637809999998
Genesee Valley Trust Company,43.0440348,-77.4666343
TD Bank,40.6826273,-73.99598940000001
Bank of America,43.02686370000001,-76.1110412
HSBC Bank,40.6891359,-73.66877389999998
Capital One,40.7540427,-73.6549546
KeyBank,43.0876118,-77.58267599999998
HSBC Bank,40.765864799999996,-73.78907939999998
Chase,40.7440058,-73.88514119999998
I B E W Local No 106,42.117449,-79.2172259
Trustco Bank,42.6070226,-73.7190995
Popular Community Bank,40.599773299999995,-73.9497207
Ponce De Leon Fed Savings & Loan Assn,40.7917555,-73.94410010000001
TD Bank,40.752620799999995,-73.98788119999998
Citibank,40.6901989,-73.6855812
TD Bank,40.8292809,-73.19968490000001
Chase,40.73528950000001,-73.0843368
M&T Bank,41.4077485,-74.316069
M&T Bank,42.9064369,-78.782093
Capital One,40.7398286,-73.7866021
Jeff Bank,41.6677541,-74.676408
The First National Bank of Long Island,40.833105100000004,-73.6295296
Bank of America,40.7672454,-73.9562002
KeyBank,41.1541306,-73.9884665
HSBC Bank,40.63415139999999,-73.88963890000001
KeyBank,42.098319200000006,-79.23967440000001
Redwood National Bank,44.336870000000005,-75.9173873
The Tank Bank,43.224642100000004,-77.3713954
Chase,40.988889799999995,-73.8077108
M&T Bank,41.4187776,-73.9518305
Trustco Bank,43.3086065,-73.643549
Chase,40.8376259,-72.92439399999998
Citibank,40.9945014,-73.87969369999998
HSBC Bank,40.774190000000004,-73.4223489
Dealstruck,40.659599799999995,-73.7036054
Glens Falls National Bank,43.3179706,-73.84142390000001
Chase,40.9343972,-73.90282189999998
Chase,40.782914399999996,-73.9484141
Cattaraugus County Bank,42.1637961,-78.9698756
Capital One,40.80094640000001,-73.735259
M&T Bank,42.1076413,-75.8898816
Evans Bank,42.7016092,-78.98052249999998
Chase,40.6060678,-74.000036
Farm Credit East,44.67237799999999,-74.96337799999998
KeyBank,42.96316229999999,-78.7843208
Discover Card,40.768707,-73.41564129999998
Capital One,40.8446492,-73.27363359999998
KeyBank,42.7821338,-73.89047029999998
People's United Bank,41.0320766,-73.76713740000001
Bank of America,40.745673100000005,-73.99477359999999
TD Bank,40.8101032,-73.9516675
TD Bank,44.58011700000001,-73.526833
Trustco Bank,42.6811116,-74.4573941
Chase,40.6303616,-74.00920140000001
Ulster Savings Bank,42.0386911,-74.1142464
First Pioneer Farm Credit Aca,43.933440600000004,-75.86397090000001
Chase,40.6250295,-73.9647091
Community Bank,44.84835830000001,-74.29841400000001
Astoria Bank,40.7282764,-73.7059359
Penn Star Bank,42.5289388,-75.52412149999998
Chase,40.6215265,-73.93522440000001
Capital One,40.6023469,-73.9950777
Bank of Greene County,42.347263899999994,-73.802825
KeyBank,42.8922315,-78.7537755
Roslyn Savings Bank,40.705202,-73.63984659999998
Chase,40.7429529,-73.9922843
Richmond County Savings Bank,40.543227,-74.16467800000001
Berkshire Bank,42.7743395,-73.8953118
Chase,40.8048686,-73.73493719999998
KeyBank,44.3351321,-75.466573
Citibank,40.7249507,-73.48610529999998
TD Bank,40.6715309,-73.38139869999998
Chase,40.9263046,-72.6936903
Chase,40.9350375,-73.74784609999998
Valley Bank,40.7515507,-73.97892209999998
Chase,42.8642389,-73.7815827
Capital One,40.7235745,-73.81983579999998
M&T Bank,43.0267491,-78.9666063
TD Bank,40.607411600000006,-73.96112729999999
Citibank,40.7414469,-73.66288759999998
Bank of Greene County,42.4265777,-74.017779
Chase,40.826196200000005,-73.10900459999998
Universal Merchant Funding,40.618759000000004,-74.069244
Roslyn Savings Bank,40.8008435,-73.647481
Capital One,40.6251485,-73.96342
Bank of America,40.6798538,-73.75298000000001
Valleyynational Bank,40.7325007,-73.98992199999999
KeyBank,43.236262700000005,-77.6465178
Glen Head First Natl Bank,40.8331468,-73.62929100000001
Richmond County Savings Bank,40.5188086,-74.19731920000001
Carver Bank,40.70300719999999,-73.79825240000002
Citibank,40.6531793,-73.5879834
People's United Bank,40.782254200000004,-73.5032265
Astoria Federal Savings & Loan Assn,40.890281099999996,-72.9041368
KeyBank,43.33152379999999,-73.65946149999998
Nefcu,40.668772600000004,-73.43602249999998
Community Bank,42.10459470000001,-77.23564309999998
TD Bank,40.8016959,-73.0055375
Community Financial Services Center (CFSC),40.89021109999999,-73.81973289999998
Apple Bank For Savings,40.841851,-73.29354099999998
Chase,40.7382475,-73.3216352
Austrian National Bank,40.76150699999999,-73.971308
Steuben Trust Company,42.126478399999996,-77.96498670000001
Citizens Bank,42.1039468,-76.0486645
Putnam County National Bank,41.5137625,-73.59118070000001
Emigrant Savings Bank,40.839702700000004,-73.9155447
Citizens National Bank of Hammond,44.586005799999995,-75.6482911
Canandaigua National Bank & Trust,43.1492979,-77.5971522
Champlain National Bank,44.69966549999999,-73.453321
Citibank,40.650225,-73.958274
Citibank,40.7699795,-73.96069849999998
Bank of America,40.935184899999996,-72.6590258
Bank of America,40.7349659,-73.87392840000001
Chase,40.802544299999994,-72.86805229999999
TD Bank,40.7693291,-73.96125970000001
KeyBank,43.0475504,-76.2299766
Westchester Land Trust,41.2379667,-73.6692798
People's United Bank,40.7631512,-73.3106262
Kookmin Bank,40.7559946,-73.9785
Sterling National Bank,41.1504748,-73.94502899999998
Chase,43.2115158,-77.44559100000002
Capital One,40.9881115,-72.53453459999999
Faa,40.7841114,-73.09694879999998
Bank of America,40.7819419,-73.0898239
Citibank,40.7672454,-73.9562002
Banks,43.1397097,-74.9692194
KeyBank,42.4267219,-73.68714449999999
Chase,40.726110399999996,-73.49703240000001
First Pioneer Farm Credit,43.091916,-73.53939729999998
Signature Bank,40.624553799999994,-73.99718519999998
Jeff Bank,41.7809343,-74.9337704
KeyBank,42.6222251,-73.83210799999998
Canandaigua National Bank & Trust,43.070269700000004,-77.439604
Citi,43.0438954,-78.74283249999998
Chase,40.7844576,-73.0091877
Chase,43.1494079,-77.63556489999998
Community Bank,44.69116029999999,-75.4879694
M&T Bank,41.92614520000001,-73.9126646
Community Bank,42.00922389999999,-74.2684129
Investors Bank,40.691405200000005,-73.991372
Chase,43.1660946,-77.69282259999999
Trustco Bank,42.83581029999999,-73.9337745
TD Bank,40.761447100000005,-73.9840983
Tompkins Trust Company,42.440635,-76.49803419999998
M&T Bank,40.88421629999999,-73.26266820000001
PNC Financial Services,40.7567565,-73.9904366
KeyBank,43.10470189999999,-77.5409385
Chase,40.7566467,-73.9675962
ABC Lease Accounting,42.6020974,-73.81960660000001
Rondout Savings Bank,41.9370464,-74.0228254
Richmond County Savings Bank,40.5417881,-74.17771259999998
Saratoga National Bank,42.8602505,-73.7760541
Santander Bank,40.759927000000005,-73.82974500000002
Alma Bank,40.622387700000004,-74.0258316
Bank of America,40.9330906,-73.89846349999998
First Niagara,42.24788780000001,-73.78047690000001
Queens County Savings Bank,40.6659149,-73.85174719999998
Chase,40.97852329999999,-73.8300059
Tompkins Trust Company,42.9789424,-78.7389869
Evans Bank,42.7337619,-78.8268535
Wells Fargo,41.932173600000006,-74.01806009999999
Bank of America,40.885849799999995,-73.90966569999998
Canandaigua National Bank & Trust,43.123606099999996,-77.618399
Chase,40.86394000000001,-73.92583599999998
Seneca Savings,43.14886509999999,-76.230707
HSBC Bank,40.7546905,-73.97111540000002
Chase,40.6811026,-73.43224740000001
TD Bank,40.86365929999999,-73.36932689999998
Warwick Savings Bank,41.349676200000005,-74.1242006
M&T Bank,41.290564200000006,-73.9193109
Investors Bank,40.5904855,-74.08822990000002
M&T Bank,43.0683896,-77.4388518
