County Name,State,FIPS County Code,Link
FAIRBANKS NORTH STAR,AK,2090,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
HAINES,AK,2100,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
HOONAH-ANGOON CENSUS AREA,AK,2105,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
JUNEAU,AK,2110,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
KENAI PENINSULA,AK,2122,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
KETCHIKAN GATEWAY,AK,2130,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
KODIAK ISLAND BOROUGH,AK,2150,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LAKE AND PENINSULA,AK,2164,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MATANUSKA-SUSITNA,AK,2170,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NOME,AK,2180,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NORTH SLOPE BOROUH,AK,2185,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NORTHWEST ARTIC BOROUGH,AK,2188,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PETERSBURG BOROUGH,AK,2195,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PR.OF WALES-HYDER CNS AREA,AK,2198,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SITKA BOROUGH,AK,2220,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SKAGWAY-YAKUTAT,AK,2230,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SOUTHEAST FAIRBANKS,AK,2240,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
VALDEZ-CORDOVA,AK,2261,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
WADE HAMPTON,AK,2270,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
WRANGELL CITY AND BOROUGH,AK,2275,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YAKUTAT BOROUGH,AK,2282,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YUKON-KOYUKUK,AK,2290,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
STATEWIDE,AK,2990,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
APACHE,AZ,4001,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
COCHISE,AZ,4003,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
COCONINO,AZ,4005,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GILA,AZ,4007,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GRAHAM,AZ,4009,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GREENLEE,AZ,4011,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LAPAZ,AZ,4012,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MARICOPA,AZ,4013,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MOHAVE,AZ,4015,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NAVAJO,AZ,4017,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PIMA,AZ,4019,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PINAL,AZ,4021,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SANTA CRUZ,AZ,4023,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YAVAPAI,AZ,4025,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YUMA,AZ,4027,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
STATEWIDE,AZ,4990,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ARKANSAS,AR,5001,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ASHLEY,AR,5003,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BAXTER,AR,5005,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BENTON,AR,5007,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BOONE,AR,5009,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BRADLEY,AR,5011,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CALHOUN,AR,5013,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CARROLL,AR,5015,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CHICOT,AR,5017,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CLARK,AR,5019,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CLAY,AR,5021,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CLEBURNE,AR,5023,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CLEVELAND,AR,5025,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
COLUMBIA,AR,5027,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CONWAY,AR,5029,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CRAIGHEAD,AR,5031,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CRAWFORD,AR,5033,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CRITTENDEN,AR,5035,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CROSS,AR,5037,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
DALLAS,AR,5039,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
DESHA,AR,5041,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
DREW,AR,5043,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
FAULKNER,AR,5045,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
FRANKLIN,AR,5047,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
FULTON,AR,5049,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GARLAND,AR,5051,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GRANT,AR,5053,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GREENE,AR,5055,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
HEMPSTEAD,AR,5057,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
HOT SPRING,AR,5059,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
HOWARD,AR,5061,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
INDEPENDENCE,AR,5063,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
IZARD,AR,5065,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
JACKSON,AR,5067,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
JEFFERSON,AR,5069,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
JOHNSON,AR,5071,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LAFAYETTE,AR,5073,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LAWRENCE,AR,5075,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LEE,AR,5077,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LINCOLN,AR,5079,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LITTLE RIVER,AR,5081,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LOGAN,AR,5083,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LONOKE,AR,5085,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MADISON,AR,5087,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MARION,AR,5089,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MILLER,AR,5091,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MISSISSIPPI,AR,5093,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MONROE,AR,5095,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MONTGOMERY,AR,5097,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NEVADA,AR,5099,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NEWTON,AR,5101,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
OUACHITA,AR,5103,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PERRY,AR,5105,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PHILLIPS,AR,5107,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PIKE,AR,5109,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
POINSETT,AR,5111,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
POLK,AR,5113,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
POPE,AR,5115,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PRAIRIE,AR,5117,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PULASKI,AR,5119,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
RANDOLPH,AR,5121,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ST. FRANCIS,AR,5123,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SALINE,AR,5125,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SCOTT,AR,5127,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SEARCY,AR,5129,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SEBASTIAN,AR,5131,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SEVIER,AR,5133,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SHARP,AR,5135,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
STONE,AR,5137,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
UNION,AR,5139,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
VAN BUREN,AR,5141,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
WASHINGTON,AR,5143,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
WHITE,AR,5145,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
WOODRUFF,AR,5147,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YELL,AR,5149,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
STATEWIDE,AR,5990,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ALAMEDA,CA,6001,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ALPINE,CA,6003,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
AMADOR,CA,6005,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BUTTE,CA,6007,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CALAVERAS,CA,6009,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
COLUSA,CA,6011,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CONTRA COSTA,CA,6013,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
DEL NORTE,CA,6015,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
EL DORADO,CA,6017,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
FRESNO,CA,6019,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
GLENN,CA,6021,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
HUMBOLDT,CA,6023,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
IMPERIAL,CA,6025,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
INYO,CA,6027,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
KERN,CA,6029,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
KINGS,CA,6031,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LAKE,CA,6033,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LASSEN,CA,6035,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LOS ANGELES,CA,6037,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
LOS ANGELES,CA,6037,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MADERA,CA,6039,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MARIN,CA,6041,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MARIPOSA,CA,6043,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MENDOCINO,CA,6045,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MERCED,CA,6047,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MODOC,CA,6049,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MONO,CA,6051,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
MONTEREY,CA,6053,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NAPA,CA,6055,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
NEVADA,CA,6057,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ORANGE,CA,6059,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PLACER,CA,6061,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
PLUMAS,CA,6063,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
RIVERSIDE,CA,6065,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SACRAMENTO,CA,6067,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN BENITO,CA,6069,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN BERNARDINO,CA,6071,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN DIEGO,CA,6073,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN FRANCISCO,CA,6075,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN JOAQUIN,CA,6077,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN LUIS OBISPO,CA,6079,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SAN MATEO,CA,6081,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SANTA BARBARA,CA,6083,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SANTA CLARA,CA,6085,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SANTA CRUZ,CA,6087,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SHASTA,CA,6089,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SIERRA,CA,6091,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SISKIYOU,CA,6093,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SOLANO,CA,6095,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SONOMA,CA,6097,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
STANISLAUS,CA,6099,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
SUTTER,CA,6101,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
TEHAMA,CA,6103,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
TRINITY,CA,6105,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
TULARE,CA,6107,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
TUOLUMNE,CA,6109,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
VENTURA,CA,6111,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YOLO,CA,6113,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
YUBA,CA,6115,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
STATEWIDE,CA,6990,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ADAMS,CO,8001,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ALAMOSA,CO,8003,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ARAPAHOE,CO,8005,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
ARCHULETA,CO,8007,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BACA,CO,8009,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BENT,CO,8011,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
BOULDER,CO,8013,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CHAFFEE,CO,8015,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
CHEYENNE,CO,8017,https://fred.stlouisfed.org/series/EQFXSUBPRIME00
