County Name,State,FIPS County Code,Link,url,q1_credit,credit_percent
GREENE,AL,1063,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001063,"<span class=""series-meta-observation-value"">47.92899</span>",47.92899
HALE,AL,1065,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001065,"<span class=""series-meta-observation-value"">39.83957</span>",39.83957
HENRY,AL,1067,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001067,"<span class=""series-meta-observation-value"">33.83152</span>",33.83152
HOUSTON,AL,1069,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001069,"<span class=""series-meta-observation-value"">34.06982</span>",34.06982
JACKSON,AL,1071,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001071,"<span class=""series-meta-observation-value"">32.46415</span>",32.46415
JEFFERSON,AL,1073,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001073,"<span class=""series-meta-observation-value"">31.95866</span>",31.95866
LAMAR,AL,1075,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001075,"<span class=""series-meta-observation-value"">28.91761</span>",28.91761
LAUDERDALE,AL,1077,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001077,"<span class=""series-meta-observation-value"">28.05430</span>",28.05430
LAWRENCE,AL,1079,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001079,"<span class=""series-meta-observation-value"">30.98976</span>",30.98976
LEE,AL,1081,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001081,"<span class=""series-meta-observation-value"">30.19957</span>",30.19957
LIMESTONE,AL,1083,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001083,"<span class=""series-meta-observation-value"">23.73859</span>",23.73859
LOWNDES,AL,1085,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001085,"<span class=""series-meta-observation-value"">42.55319</span>",42.55319
MACON,AL,1087,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001087,"<span class=""series-meta-observation-value"">42.89373</span>",42.89373
MADISON,AL,1089,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001089,"<span class=""series-meta-observation-value"">24.30259</span>",24.30259
MARENGO,AL,1091,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001091,"<span class=""series-meta-observation-value"">42.74286</span>",42.74286
MARION,AL,1093,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001093,"<span class=""series-meta-observation-value"">30.35191</span>",30.35191
MARSHALL,AL,1095,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001095,"<span class=""series-meta-observation-value"">29.36646</span>",29.36646
MOBILE,AL,1097,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001097,"<span class=""series-meta-observation-value"">36.12638</span>",36.12638
MONROE,AL,1099,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001099,"<span class=""series-meta-observation-value"">41.83445</span>",41.83445
MONTGOMERY,AL,1101,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001101,"<span class=""series-meta-observation-value"">39.33452</span>",39.33452
MORGAN,AL,1103,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001103,"<span class=""series-meta-observation-value"">28.08712</span>",28.08712
PERRY,AL,1105,https://fred.stlouisfed.org/series/EQFXSUBPRIME00,https://fred.stlouisfed.org/series/EQFXSUBPRIME001105,"<span class=""series-meta-observation-value"">42.78075</span>",42.78075
