UNIT,CNTYNAMB,lat,lon,STALP,ZIP,ASSET
Bank Of Stockton,Napa,38.296262,-122.289391,CA,95202,"3,780,190"
Bank Of Stockton,Amador,38.413084,-120.656238,CA,95202,"3,780,190"
Bank Of Stockton,Calaveras,38.07877,-120.553002,CA,95202,"3,780,190"
Bank Of Stockton,Solano,38.156908,-121.6921,CA,95202,"3,780,190"
Bank Of Stockton,San Joaquin,37.739384,-121.1259,CA,95202,"3,780,190"
Bank Of Stockton,Solano,38.272582,-122.054,CA,95202,"3,780,190"
Bank Of Stockton,Tuolumne,37.982213,-120.382026,CA,95202,"3,780,190"
Bank Of Stockton,San Joaquin,37.956216,-121.287522,CA,95202,"3,780,190"
Bank Of Stockton,Stanislaus,37.701432,-121.050037,CA,95202,"3,780,190"
Bank Of Stockton,San Joaquin,37.987974,-121.340206,CA,95202,"3,780,190"
Bank Of Stockton,Contra Costa,37.961742,-121.730846,CA,95202,"3,780,190"
Bank Of Stockton,San Joaquin,37.807287,-121.216768,CA,95202,"3,780,190"
Bank Of Stockton,San Joaquin,38.011853,-121.320599,CA,95202,"3,780,190"
Bank Of Stockton,Sacramento,38.421598,-121.406231,CA,95202,"3,780,190"
Mechanics Bank,Sonoma,38.289267,-122.459305,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.311205,-120.833135,CA,94596,"18,869,983"
Mechanics Bank,Fresno,36.59578,-119.454094,CA,94596,"18,869,983"
Mechanics Bank,Napa,38.506408,-122.469033,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.554343,-120.717259,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.118887,-120.594067,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.766463,-121.759026,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.448479,-120.903761,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.564079,-121.095506,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.864998,-120.417221,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.905864,-122.058976,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.980161,-122.05619,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.263845,-119.212262,CA,94596,"18,869,983"
Mechanics Bank,Siskiyou,41.606805,-122.84194,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.441877,-119.262806,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.701082,-121.66696,CA,94596,"18,869,983"
Mechanics Bank,Tulare,36.541116,-119.389824,CA,94596,"18,869,983"
Mechanics Bank,Stanislaus,37.315703,-121.022802,CA,94596,"18,869,983"
Mechanics Bank,Jackson,42.343248,-122.869346,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.898403,-122.060408,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.835161,-122.129921,CA,94596,"18,869,983"
Mechanics Bank,Butte,39.814817,-121.590012,CA,94596,"18,869,983"
Mechanics Bank,Stanislaus,37.642597,-120.995068,CA,94596,"18,869,983"
Mechanics Bank,Siskiyou,41.310001,-122.316989,CA,94596,"18,869,983"
Mechanics Bank,Imperial,32.792827,-115.571433,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.278795,-118.883718,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.610456,-114.595744,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.67879,-116.17666,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.932095,-120.435923,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.197621,-119.178175,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.596078,-120.142799,CA,94596,"18,869,983"
Mechanics Bank,Sutter,39.148192,-121.644352,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.924931,-122.08782,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.610626,-121.844674,CA,94596,"18,869,983"
Mechanics Bank,Alameda,37.891404,-122.279793,CA,94596,"18,869,983"
Mechanics Bank,Orange,33.677319,-117.852678,CA,94596,"18,869,983"
Mechanics Bank,Shasta,40.568207,-122.369049,CA,94596,"18,869,983"
Mechanics Bank,Tuolumne,37.854536,-119.92065,CA,94596,"18,869,983"
Mechanics Bank,Merced,37.360486,-120.613335,CA,94596,"18,869,983"
Mechanics Bank,San Joaquin,37.987391,-121.328737,CA,94596,"18,869,983"
Mechanics Bank,Imperial,32.97854,-115.539656,CA,94596,"18,869,983"
Mechanics Bank,Santa Cruz,36.918024,-121.78087,CA,94596,"18,869,983"
Mechanics Bank,Alameda,37.80745,-122.264776,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.954208,-122.332523,CA,94596,"18,869,983"
Mechanics Bank,Merced,37.305253,-120.482941,CA,94596,"18,869,983"
Mechanics Bank,Santa Clara,37.37069,-121.923101,CA,94596,"18,869,983"
Mechanics Bank,Tulare,36.225815,-119.317599,CA,94596,"18,869,983"
Mechanics Bank,Sonoma,38.438031,-122.707755,CA,94596,"18,869,983"
Mechanics Bank,Butte,39.723164,-121.801448,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.417548,-121.321547,CA,94596,"18,869,983"
Mechanics Bank,Imperial,32.755892,-115.602258,CA,94596,"18,869,983"
Mechanics Bank,Kings,36.326847,-119.645772,CA,94596,"18,869,983"
Mechanics Bank,Stanislaus,37.521729,-120.872924,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.430145,-119.721424,CA,94596,"18,869,983"
Mechanics Bank,Butte,39.507481,-121.551696,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.269703,-120.656426,CA,94596,"18,869,983"
Mechanics Bank,Yuba,39.144926,-121.587068,CA,94596,"18,869,983"
Mechanics Bank,Alameda,37.86758,-122.267642,CA,94596,"18,869,983"
Mechanics Bank,Butte,39.754652,-121.864782,CA,94596,"18,869,983"
Mechanics Bank,Imperial,33.007128,-115.43062,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.366918,-120.850669,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.995912,-122.285663,CA,94596,"18,869,983"
Mechanics Bank,Kern,35.3979,-118.9676,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.904125,-122.278129,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.229579,-119.173858,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.26922,-119.246852,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.280842,-119.295954,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.671875,-121.654431,CA,94596,"18,869,983"
Mechanics Bank,Santa Cruz,36.989311,-121.98063,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.981873,-122.321509,CA,94596,"18,869,983"
Mechanics Bank,Napa,38.320284,-122.306263,CA,94596,"18,869,983"
Mechanics Bank,San Francisco,37.793615,-122.401264,CA,94596,"18,869,983"
Mechanics Bank,Tulare,36.299969,-119.313801,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.819701,-121.998364,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.612866,-120.079732,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.891083,-122.1264,CA,94596,"18,869,983"
Mechanics Bank,Siskiyou,41.416034,-122.384223,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.440364,-119.74485,CA,94596,"18,869,983"
Mechanics Bank,San Bernardino,34.071366,-117.568566,CA,94596,"18,869,983"
Mechanics Bank,Kern,35.394744,-119.095038,CA,94596,"18,869,983"
Mechanics Bank,Stanislaus,37.689393,-121.015724,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.163378,-118.824576,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.965252,-122.312768,CA,94596,"18,869,983"
Mechanics Bank,Kern,35.319072,-119.092051,CA,94596,"18,869,983"
Mechanics Bank,Placer,38.743791,-121.22646,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.925246,-122.384534,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.506971,-121.445064,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.691236,-116.395907,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.393081,-119.301082,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.933271,-122.330391,CA,94596,"18,869,983"
Mechanics Bank,Siskiyou,41.456725,-122.893292,CA,94596,"18,869,983"
Mechanics Bank,Napa,38.289381,-122.275934,CA,94596,"18,869,983"
Mechanics Bank,El Dorado,38.650531,-121.06695,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.598672,-121.894606,CA,94596,"18,869,983"
Mechanics Bank,Fresno,36.858305,-119.789193,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.221562,-119.038919,CA,94596,"18,869,983"
Mechanics Bank,San Benito,36.8394,-121.393826,CA,94596,"18,869,983"
Mechanics Bank,Tehama,40.161145,-122.227511,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.823007,-116.532413,CA,94596,"18,869,983"
Mechanics Bank,Calaveras,38.077306,-120.550211,CA,94596,"18,869,983"
Mechanics Bank,San Joaquin,38.115555,-121.279057,CA,94596,"18,869,983"
Mechanics Bank,Imperial,32.811082,-115.38011,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.398632,-119.517935,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.654442,-116.280599,CA,94596,"18,869,983"
Mechanics Bank,Siskiyou,41.728379,-122.637543,CA,94596,"18,869,983"
Mechanics Bank,Kern,35.354127,-119.058733,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.953205,-120.428859,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.210934,-121.130104,CA,94596,"18,869,983"
Mechanics Bank,Monterey,36.620825,-121.917352,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.899597,-122.063554,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.441615,-119.829583,CA,94596,"18,869,983"
Mechanics Bank,Merced,37.060845,-120.847806,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.614064,-120.194967,CA,94596,"18,869,983"
Mechanics Bank,Orange,33.61807,-117.872867,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.035268,-120.487359,CA,94596,"18,869,983"
Mechanics Bank,Tulare,36.33012,-119.298547,CA,94596,"18,869,983"
Mechanics Bank,Siskiyou,41.809351,-123.406909,CA,94596,"18,869,983"
Mechanics Bank,Butte,39.75226,-121.608148,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,38.028418,-122.265806,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,38.030415,-121.8841,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.486448,-120.665242,CA,94596,"18,869,983"
Mechanics Bank,Napa,38.324793,-122.289176,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.824377,-116.379849,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.960221,-120.435752,CA,94596,"18,869,983"
Mechanics Bank,Placer,38.791626,-121.279519,CA,94596,"18,869,983"
Mechanics Bank,Merced,37.33218,-120.462039,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.291591,-120.66732,CA,94596,"18,869,983"
Mechanics Bank,Alameda,37.869017,-122.299871,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.87805,-122.180517,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.142306,-120.640779,CA,94596,"18,869,983"
Mechanics Bank,Alameda,37.891848,-122.299374,CA,94596,"18,869,983"
Mechanics Bank,Santa Clara,37.013532,-121.584354,CA,94596,"18,869,983"
Mechanics Bank,Riverside,33.706604,-116.234276,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.650681,-120.457655,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.622997,-120.691153,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.134358,-120.60534,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.155178,-118.826971,CA,94596,"18,869,983"
Mechanics Bank,San Luis Obispo,35.121613,-120.620264,CA,94596,"18,869,983"
Mechanics Bank,Ventura,34.178941,-118.875545,CA,94596,"18,869,983"
Mechanics Bank,Kern,35.373428,-119.011719,CA,94596,"18,869,983"
Mechanics Bank,Marin,37.973028,-122.526092,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.970704,-120.572861,CA,94596,"18,869,983"
Mechanics Bank,Santa Barbara,34.421314,-119.676906,CA,94596,"18,869,983"
Mechanics Bank,Placer,38.783061,-121.284976,CA,94596,"18,869,983"
Mechanics Bank,Los Angeles,34.067015,-118.394109,CA,94596,"18,869,983"
Mechanics Bank,San Diego,32.87589,-117.213917,CA,94596,"18,869,983"
Mechanics Bank,Tehama,39.925809,-122.197476,CA,94596,"18,869,983"
Mechanics Bank,Contra Costa,37.900362,-122.302401,CA,94596,"18,869,983"
Westamerica Bank,Marin,37.866974,-122.500715,CA,94901,"6,418,409"
Westamerica Bank,Napa,38.506951,-122.468811,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.40218,-122.824166,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.23201,-122.640634,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.974284,-122.528161,CA,94901,"6,418,409"
Westamerica Bank,Sonoma,38.437478,-122.712449,CA,94901,"6,418,409"
Westamerica Bank,Napa,38.578433,-122.578288,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.94717,-122.547311,CA,94901,"6,418,409"
Westamerica Bank,Nevada,39.220904,-121.203648,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.808865,-119.768419,CA,94901,"6,418,409"
Westamerica Bank,Marin,37.956741,-122.501382,CA,94901,"6,418,409"
Westamerica Bank,Tuolumne,37.974262,-120.361761,CA,94901,"6,418,409"
Westamerica Bank,Fresno,36.857508,-120.453144,CA,94901,"6,418,409"
Westamerica Bank,Contra Costa,37.968984,-122.051796,CA,94901,"6,418,409"
